127.0.0.1 - - [19/Nov/2018:20:09:25 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:09:28 +0900] "GET /WebProj2/ HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:09:35 +0900] "POST /WebProj2/HelloStrutsAction.action;jsessionid=9D310A34BCAC3E99216436BF958F8937 HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:09:41 +0900] "POST /WebProj2/HelloStrutsAction.action;jsessionid=9D310A34BCAC3E99216436BF958F8937 HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:09:45 +0900] "POST /WebProj2/WelcomeAction.action;jsessionid=9D310A34BCAC3E99216436BF958F8937 HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:11:01 +0900] "POST /WebProj2/HelloStrutsAction.action;jsessionid=9D310A34BCAC3E99216436BF958F8937 HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:12:12 +0900] "POST /WebProj2/InquiryAction.action;jsessionid=9D310A34BCAC3E99216436BF958F8937 HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:12:22 +0900] "POST /WebProj2/InquiryCompleteAction.action HTTP/1.1" 200 9456
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:28:09 +0900] "POST /WebProj2/InquiryAction.action;jsessionid=9D310A34BCAC3E99216436BF958F8937 HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:28:13 +0900] "POST /WebProj2/HelloStrutsAction.action;jsessionid=9D310A34BCAC3E99216436BF958F8937 HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:28:17 +0900] "POST /WebProj2/InquiryAction.action;jsessionid=9D310A34BCAC3E99216436BF958F8937 HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:28:24 +0900] "POST /WebProj2/InquiryCompleteAction.action HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:31:02 +0900] "POST /WebProj2/InquiryCompleteAction.action HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:42:42 +0900] "POST /WebProj2/InquiryCompleteAction.action HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:44:08 +0900] "POST /WebProj2/InquiryCompleteAction.action HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:46:03 +0900] "POST /WebProj2/InquiryCompleteAction.action HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:46:08 +0900] "POST /WebProj2/InquiryCompleteAction.action HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:47:21 +0900] "GET /WebProj2/ HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:47:22 +0900] "POST /WebProj2/InquiryAction.action HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:47:29 +0900] "POST /WebProj2/InquiryCompleteAction.action HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [19/Nov/2018:20:48:56 +0900] "GET /WebProj2/ HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [19/Nov/2018:21:19:15 +0900] "GET /WebProj2/ HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [19/Nov/2018:21:19:43 +0900] "GET /WebProj2/TestAction.action?username=aaaa&password=aaaa HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [19/Nov/2018:21:20:12 +0900] "POST /WebProj2/TestAction.action HTTP/1.1" 200 336
